0.05067,0.05067,54.67603,5356.45409,-0.49763,45.00011,4.80299549519048,1.7892421963756673,0.0
0.10131,0.10131,54.60646,5353.88374,-0.49464,45.00027,4.8455643315943595,1.8051002079896075,0.0
0.15194,0.15194,54.5374,5351.28877,-0.49105,45.00048,4.888123513492332,1.8209546230460723,0.0
0.20253,0.20253,54.4689,5348.66906,-0.48685,45.00075,4.930606848867108,1.8367807832770038,0.0
0.2531,0.25311,54.40108,5346.0245,-0.48205,45.00108,4.972946331477824,1.8525533545683293,0.0
0.30365,0.30366,54.334,5343.35506,-0.47664,45.00146,5.015072280696393,1.8682463790526784,0.0
0.35417,0.35418,54.26776,5340.66071,-0.47063,45.00189,5.0569134986441675,1.883833333646926,0.0
0.40467,0.40469,54.20243,5337.94149,-0.46402,45.00238,5.09839744461687,1.8992871950300678,0.0
0.45514,0.45516,54.13809,5335.19746,-0.45683,45.00293,5.139450426597212,1.9145805109867098,0.0
0.50559,0.50562,54.07484,5332.42874,-0.44906,45.00353,5.1799978095035515,1.929685477985174,0.0
0.55601,0.55604,54.01274,5329.63548,-0.44072,45.00418,5.219964239628906,1.9445740247869336,0.0
0.6064,0.60645,53.95188,5326.8179,-0.43181,45.00488,5.259273884527699,1.9592179018107398,0.0
0.65676,0.65682,53.89233,5323.97623,-0.42236,45.00564,5.297850687425062,1.9735887759067798,0.0
0.7071,0.70718,53.83417,5321.11077,-0.41236,45.00646,5.3356186350287444,1.9876583301236597,0.0
0.75741,0.7575,53.77746,5318.22186,-0.40184,45.00732,5.37250203741527,2.0013983679733633,0.0
0.80769,0.8078,53.72229,5315.30989,-0.39082,45.00824,5.408425818474071,2.0147809216293333,0.0
0.85795,0.85808,53.66872,5312.37527,-0.37929,45.00921,5.443315815229398,2.0277783634317568,0.0
0.90818,0.90833,53.61681,5309.41849,-0.3673,45.01024,5.477099084148199,2.0403635199953127,0.0
0.95837,0.95855,53.56663,5306.44007,-0.35484,45.01132,5.509704212420333,2.052509788169239,0.0
1.00854,1.00875,53.51824,5303.44058,-0.34194,45.01245,5.541061632022259,2.064191252034322,0.0
1.05868,1.05892,53.4717,5300.42061,-0.32863,45.01363,5.57110393428348,2.0753828000871724,0.0
1.1088,1.10907,53.42706,5297.38082,-0.31492,45.01487,5.599766182530982,2.0860602417085063,0.0
1.15888,1.15919,53.38437,5294.32191,-0.30084,45.01615,5.626986220375826,2.09620042200801,0.0
1.20893,1.20928,53.34367,5291.2446,-0.28641,45.01749,5.652704973083574,2.1057813340927565,0.0
1.25895,1.25934,53.30503,5288.14966,-0.27166,45.01889,5.676866739528267,2.1147822278277406,0.0
1.30894,1.30938,53.26847,5285.0379,-0.25661,45.02033,5.699419472189417,2.123183714142129,0.0
1.3589,1.35939,53.23403,5281.91015,-0.24128,45.02182,5.720315042727078,2.1309678639629577,0.0
1.40883,1.40938,53.20175,5278.7673,-0.22571,45.02337,5.73950949075045,2.1381183008879865,0.0
1.45873,1.45933,53.17166,5275.61025,-0.20992,45.02497,5.756963253496673,2.144620286747091,0.0
1.5086,1.50926,53.14377,5272.43991,-0.19395,45.02661,5.772641374300095,2.150460799262551,0.0
1.55844,1.55917,53.11812,5269.25727,-0.17781,45.02831,5.786513687889532,2.1556286010771544,0.0
1.60824,1.60904,53.09472,5266.06328,-0.16155,45.03006,5.798554980775297,2.160114299502585,0.0
1.65802,1.65889,53.07358,5262.85896,-0.14519,45.03187,5.808745125197915,2.1639103964188466,0.0
1.70776,1.70871,53.05471,5259.64532,-0.12875,45.03372,5.8170691853839855,2.1670113278573635,0.0
1.75747,1.75851,53.03812,5256.42338,-0.11228,45.03562,5.8235174951101705,2.169413492895607,0.0
1.80715,1.80827,53.02381,5253.19421,-0.0958,45.03758,5.828085705876029,2.1711152716027486,0.0
1.8568,1.85801,53.01177,5249.95884,-0.07935,45.03958,5.830774805268439,2.1721170318808847,0.0
1.90641,1.90772,53.00199,5246.71834,-0.06294,45.04163,5.831591105410485,2.172421125161946,0.0
1.95599,1.95741,52.99447,5243.47377,-0.04663,45.04374,5.830546201699508,2.172031871036536,0.0
