date,date,date,date,date,date,OT,OT,OT
16.43889,12.89001,49.00543,3447.25083,1.13002,51.35096,10.999301,4.097529,47.999999
16.466173,12.925729,49.102081,3441.192978,1.126439,51.556373,10.812774,4.028043,47.999999
16.493295,12.961484,49.198119,3435.233841,1.119797,51.758925,10.630858,3.960274,47.999999
16.520237,12.997284,49.293291,3429.371644,1.110164,51.958674,10.45379,3.894312,47.999999
16.547023,13.03312,49.387356,3423.604473,1.097607,52.155688,10.281774,3.830231,47.999999
16.573649,13.069,49.480071,3417.930319,1.082195,52.350043,10.114987,3.768099,47.999999
16.600113,13.104918,49.571208,3412.347032,1.064015,52.541822,9.953579,3.70797,47.999999
16.626415,13.140873,49.660548,3406.852404,1.043142,52.73111,9.797677,3.649893,47.999999
16.652567,13.176863,49.747868,3401.444127,1.019657,52.917992,9.647384,3.593904,47.999999
16.678564,13.212889,49.83296,3396.119828,0.993649,53.102559,9.502783,3.540037,47.999999
16.704408,13.248951,49.915629,3390.877082,0.965203,53.284894,9.363938,3.488313,47.999999
16.730109,13.285049,49.995684,3385.713412,0.934403,53.465091,9.230899,3.438753,47.999999
16.755662,13.321183,50.072937,3380.626293,0.901339,53.64325,9.103699,3.391368,47.999999
16.781069,13.357349,50.147216,3375.613171,0.866103,53.819458,8.98236,3.346165,47.999999
16.806335,13.393543,50.218355,3370.671455,0.828788,53.993812,8.86689,3.30315,47.999999
16.831453,13.429766,50.286187,3365.79853,0.789476,54.166412,8.75729,3.262321,47.999999
16.856436,13.466025,50.350571,3360.991774,0.748262,54.33735,8.653551,3.223675,47.999999
16.881284,13.502319,50.411351,3356.248529,0.705244,54.506723,8.555658,3.187208,47.999999
16.905996,13.538639,50.468407,3351.566142,0.66051,54.674631,8.463589,3.152909,47.999999
16.930565,13.574987,50.521597,3346.941952,0.614152,54.841169,8.377318,3.120771,47.999999
16.955007,13.611361,50.570815,3342.37331,0.566255,55.006445,8.296819,3.090783,47.999999
16.979308,13.647774,50.615694,3337.860242,0.516847,55.170488,8.222371,3.063049,47.999999
17.003473,13.684204,50.656379,3333.397005,0.46609,55.333468,8.15362,3.037438,47.999999
17.027512,13.72067,50.69276,3328.980915,0.414084,55.49548,8.090532,3.013936,47.999999
17.051417,13.757164,50.724751,3324.609277,0.360925,55.656625,8.033072,2.992531,47.999999
17.075195,13.793677,50.752273,3320.279404,0.30669,55.817005,7.981204,2.973208,47.999999
17.098846,13.830222,50.775251,3315.98859,0.251484,55.976715,7.934894,2.955957,47.999999
17.122372,13.866796,50.793626,3311.734137,0.195385,56.135848,7.89411,2.940764,47.999999
17.145771,13.903392,50.807343,3307.513338,0.138485,56.294504,7.85882,2.927617,47.999999
17.169039,13.940011,50.816348,3303.323482,0.080875,56.45278,7.828996,2.916507,47.999999
17.192182,13.976657,50.820599,3299.161852,0.022645,56.610774,7.804611,2.907423,47.999999
17.215204,14.01333,50.820057,3295.025721,-0.036121,56.768583,7.785641,2.900356,47.999999
17.238099,14.050026,50.814697,3290.912351,-0.095329,56.926301,7.772065,2.895299,47.999999
17.260872,14.086743,50.804502,3286.818998,-0.154888,57.084028,7.763866,2.892244,47.999999
17.283522,14.123488,50.789457,3282.742906,-0.214717,57.241866,7.761027,2.891187,47.999999
17.306042,14.16026,50.769556,3278.681302,-0.274721,57.399908,7.763536,2.892122,47.999999
17.328441,14.197056,50.744793,3274.631391,-0.334819,57.558258,7.771385,2.895045,47.999999
17.350708,14.233872,50.715187,3270.590373,-0.39491,57.717005,7.784566,2.899956,47.999999
17.372858,14.270714,50.680744,3266.555429,-0.454912,57.876257,7.803077,2.906851,47.999999
17.394881,14.307575,50.641496,3262.523705,-0.514745,58.03611,7.826914,2.915732,47.999999
17.416778,14.344462,50.597465,3258.49235,-0.574299,58.196656,7.856087,2.926599,47.999999
17.438551,14.381369,50.548423,3254.458148,-0.633483,58.358056,7.890882,2.939561,47.999999
17.46019,14.418302,50.494701,3250.418172,-0.692199,58.520373,7.931014,2.954511,47.999999
17.481702,14.455263,50.436333,3246.369481,-0.750379,58.683702,7.97649,2.971453,47.999999
17.503088,14.492242,50.373378,3242.309102,-0.807915,58.848152,8.027318,2.990387,47.999999
17.524341,14.52924,50.305916,3238.234061,-0.86472,59.013819,8.083504,3.011318,47.999999
17.545472,14.566262,50.234006,3234.141333,-0.920714,59.180809,8.145056,3.034247,47.999999
17.566467,14.603305,50.157737,3230.027885,-0.975797,59.349227,8.211979,3.059178,47.999999
17.587336,14.640372,50.077205,3225.890652,-1.029874,59.51918,8.284279,3.086112,47.999999
17.608072,14.677461,49.992493,3221.726542,-1.082856,59.690769,8.361959,3.11505,47.999999
17.628674,14.714567,49.903701,3217.532441,-1.134649,59.864102,8.445017,3.145991,47.999999
17.649145,14.751692,49.81095,3213.305227,-1.185165,60.039288,8.533449,3.178934,47.999999
17.669501,14.788827,49.715634,3209.038191,-1.20381,60.14786,8.625662,3.213286,28.860729
17.689788,14.825944,49.620609,3204.721569,-1.17854,60.162866,8.718197,3.247758,0.0
17.710039,14.863019,49.527803,3200.350176,-1.151034,60.177869,8.808642,3.281451,0.0
17.730254,14.900055,49.43739,3195.924673,-1.121357,60.192879,8.896696,3.314253,0.0
17.750433,14.937049,49.349539,3191.445881,-1.089562,60.207888,8.982063,3.346055,0.0
17.770576,14.974005,49.264398,3186.914785,-1.055717,60.222898,9.064453,3.376747,0.0
17.790683,15.010917,49.182128,3182.332545,-1.019886,60.237908,9.143577,3.406223,0.0
17.810754,15.047792,49.10288,3177.700498,-0.982169,60.252917,9.219155,3.434378,0.0
17.830779,15.084613,49.026787,3173.020073,-0.942631,60.267927,9.290909,3.461108,0.0
17.850776,15.121397,48.954165,3168.29058,-0.90131,60.282937,9.358347,3.48623,0.0
17.870719,15.158126,48.884955,3163.516483,-0.858386,60.297937,9.42143,3.50973,0.0
