date,date,date,date,date,date,OT,OT,OT
11.554001,9.539296,46.486066,3748.419747,-0.67311,36.062437,6.895251,2.568662,0.0
11.592532,9.567938,46.423064,3744.908761,-0.678669,36.070683,6.943601,2.586674,0.0
11.631018,9.596562,46.359658,3741.373217,-0.683265,36.078956,6.992588,2.604923,0.0
11.669459,9.625167,46.295931,3737.812569,-0.686898,36.087247,7.04213,2.623379,0.0
11.707871,9.653755,46.231969,3734.226316,-0.689552,36.095564,7.092139,2.642008,0.0
11.746234,9.682332,46.167879,3730.613998,-0.69121,36.103909,7.142527,2.660779,0.0
11.784556,9.710887,46.103744,3726.975203,-0.691869,36.112273,7.1932,2.679656,0.0
11.822843,9.739421,46.039654,3723.309565,-0.691523,36.120662,7.244063,2.698604,0.0
11.861087,9.767942,45.975707,3719.616774,-0.690169,36.129071,7.295017,2.717586,0.0
11.899287,9.796444,45.912001,3715.896559,-0.687796,36.137505,7.345962,2.736564,0.0
11.937442,9.824924,45.848623,3712.148709,-0.684412,36.14596,7.396795,2.755501,0.0
11.975556,9.853386,45.785664,3708.373074,-0.68002,36.154433,7.447409,2.774356,0.0
12.01363,9.88183,45.723217,3704.569558,-0.674619,36.162928,7.497698,2.79309,0.0
12.051662,9.910255,45.661374,3700.738118,-0.668219,36.171447,7.547554,2.811662,0.0
12.089653,9.938663,45.600231,3696.878767,-0.660826,36.179987,7.596866,2.830032,0.0
12.127595,9.967051,45.539875,3692.991591,-0.652458,36.188549,7.645523,2.848158,0.0
12.165498,9.995415,45.480386,3689.076733,-0.643128,36.197123,7.693415,2.865999,0.0
12.203357,10.023767,45.421858,3685.134398,-0.632847,36.205724,7.74043,2.883514,0.0
12.241171,10.052093,45.364374,3681.164841,-0.621634,36.214343,7.786458,2.90066,0.0
12.278939,10.080401,45.308019,3677.168398,-0.609522,36.222988,7.831388,2.917398,0.0
12.316653,10.108682,45.252863,3673.145403,-0.596517,36.231642,7.875109,2.933685,0.0
12.354329,10.136944,45.199063,3669.095001,-0.582611,36.240325,7.91744,2.949455,0.0
