avg w-distance,each dim w-distance
0.082492,0.075185
0.082492,0.117939
0.082492,0.067903
0.082492,0.084271
0.082492,0.077609
0.082492,0.108972
0.082492,0.083388
0.082492,0.083414
0.082492,0.043745
