avg w-distance,each dim w-distance
0.113457,0.083105
0.113457,0.085112
0.113457,0.133087
0.113457,0.173857
0.113457,0.161144
0.113457,0.057574
0.113457,0.138941
0.113457,0.138941
0.113457,0.049350
