train_loss,valid_loss
0.609280,0.479135
0.497069,0.396262
0.408092,0.343474
0.367511,0.339216
0.340642,0.367589
0.322248,0.320353
0.307358,0.295455
0.295463,0.295357
0.286886,0.282023
0.279485,0.309226
0.271971,0.283125
0.266786,0.287288
0.262140,0.299121
0.257947,0.288241
0.253146,0.305779
0.249523,0.304368
0.248219,0.290915
0.245829,0.297231
0.244622,0.292403
0.244047,0.296638
