avg w-distance,each dim w-distance
0.110478,0.091241
0.110478,0.106515
0.110478,0.114059
0.110478,0.159571
0.110478,0.130889
0.110478,0.053889
0.110478,0.146724
0.110478,0.146724
0.110478,0.044694
