avg w-distance,each dim w-distance
0.113223,0.084953
0.113223,0.073628
0.113223,0.101605
0.113223,0.089690
0.113223,0.224572
0.113223,0.018629
0.113223,0.165601
0.113223,0.165601
0.113223,0.094732
