avg w-distance,each dim w-distance
0.116728,0.090935
0.116728,0.084643
0.116728,0.106809
0.116728,0.096810
0.116728,0.236908
0.116728,0.028191
0.116728,0.145163
0.116728,0.145163
0.116728,0.115928
