train_loss,valid_loss
0.630289,0.411566
0.612464,0.395098
0.590614,0.377139
0.578599,0.385170
0.565437,0.368029
0.554861,0.367457
0.541139,0.354979
0.538869,0.358471
0.533086,0.354416
0.526483,0.350347
0.523861,0.352438
0.521935,0.353386
0.518741,0.357918
0.515315,0.349463
0.514560,0.355093
0.513167,0.351516
0.513304,0.351988
0.512079,0.352091
0.508861,0.352593
0.509915,0.352502
