train_loss,valid_loss
0.592945,0.582721
0.549494,0.536610
0.543641,0.565386
0.602951,0.592176
0.567211,0.564208
0.556065,0.551554
0.543036,0.541190
0.551946,0.560815
0.544595,0.541412
0.534718,0.531284
0.530470,0.527405
0.516157,0.495020
0.503823,0.496887
0.495745,0.483978
0.489214,0.484532
0.482823,0.468528
0.476416,0.467412
0.472963,0.453146
0.470773,0.451784
0.470154,0.452935
