date,date,date,date,date,date,OT
5.18797,7.70575,44.68034,4249.43384,-0.67064,68.55606,7.0750257192658
5.20871,7.75895,44.60326,4246.05996,-0.71555,68.67988,7.1407904684336
5.22932,7.81216,44.52128,4242.66317,-0.7598,68.80495,7.2120408509336
5.2498,7.86537,44.43451,4239.24055,-0.80332,68.93138,7.2888300256857
5.27015,7.91858,44.34301,4235.78912,-0.84605,69.05926,7.3712122020526
5.29036,7.9718,44.24691,4232.30587,-0.88791,69.18868,7.4592419190402
5.31044,8.02502,44.14629,4228.78774,-0.92885,69.31974,7.5529732488907
5.33037,8.07825,44.04129,4225.23163,-0.96879,69.45254,7.6524589206861
5.35016,8.13148,43.93202,4221.63438,-1.00767,69.58719,7.7577493597064
5.36982,8.18471,43.81861,4217.99282,-1.04542,69.72377,7.8688916385495
5.38932,8.23795,43.70119,4214.30371,-1.08197,69.86241,7.985928336
5.40869,8.29119,43.57992,4210.56379,-1.11726,70.00319,8.1088963038473
5.4279,8.34443,43.45494,4206.76976,-1.15121,70.14622,8.2378253297725
5.44696,8.39767,43.32642,4202.91828,-1.18375,70.29162,8.3727367110559
5.46587,8.45092,43.19452,4199.00601,-1.21481,70.43947,8.5136417228931
5.48463,8.50416,43.05941,4195.02957,-1.24432,70.58991,8.6605399922291
5.50322,8.55741,42.92129,4190.98556,-1.27222,70.74302,8.8134177768101
5.52173,8.61063,42.78458,4186.86166,-1.22067,70.74942,8.9668300349758
5.54021,8.66381,42.65381,4182.64898,-1.1661,70.75584,9.1148975360197
5.55867,8.71694,42.52932,4178.34966,-1.10863,70.76227,9.2568484718593
5.5771,8.77002,42.41138,4173.9662,-1.04838,70.76872,9.3919364464546
5.59551,8.82305,42.3003,4169.50154,-0.98551,70.77517,9.5194303086623
5.61389,8.87603,42.19633,4164.95899,-0.92017,70.78164,9.6386225032758
5.63225,8.92895,42.09972,4160.34227,-0.85253,70.78812,9.7488375288606
5.65058,8.98182,42.0107,4155.65545,-0.78277,70.7946,9.8494403355159
5.66888,9.03464,41.92946,4150.90297,-0.71111,70.8011,9.9398444868989
5.68716,9.0874,41.8562,4146.08961,-0.63775,70.80761,10.019519907201
