date,date,date,date,date,date,OT,OT,OT
6.31165,6.43013,43.03856,4011.59048,-2.36128,48.79171,7.942935446,2.644577157,54.99999906
6.34697,6.47081,42.78835,4008.16123,-2.40641,48.93985,8.213369734,2.734617463,54.99999906
6.38215,6.51156,42.5338,4004.60455,-2.44825,49.09304,8.497644922,2.829266057,54.99999906
6.41718,6.55236,42.27528,4000.91259,-2.48664,49.25154,8.796062713,2.928623389,54.99999906
6.45207,6.59323,42.01318,3997.07733,-2.5214,49.41561,9.108882172,3.032775714,54.99999906
6.48681,6.63416,41.7479,3993.09059,-2.55234,49.58554,9.436310043,3.141791867,54.99999906
6.52139,6.67516,41.47986,3988.94404,-2.57928,49.76159,9.778490151,3.255719735,54.99999906
6.55581,6.71623,41.20952,3984.62925,-2.60205,49.94404,10.13549192,3.374582432,54.99999906
6.59006,6.75737,40.93733,3980.13775,-2.62044,50.13318,10.50729808,3.498374205,54.99999906
6.62413,6.79859,40.66378,3975.46102,-2.63428,50.32929,10.8937916,3.627056095,54.99999906
6.65802,6.83987,40.38936,3970.59062,-2.64337,50.53266,11.29474212,3.760551397,54.99999906
6.69172,6.88123,40.11459,3965.51818,-2.64754,50.74356,11.70979188,3.898741004,54.99999906
6.72522,6.92267,39.84002,3960.2355,-2.6466,50.96227,12.13844161,4.04145868,54.99999906
6.75852,6.96419,39.56618,3954.73463,-2.64039,51.18905,12.58003648,4.188486403,54.99999906
6.79161,7.00579,39.29366,3949.00794,-2.62873,51.42417,13.03375263,4.339549868,54.99999906
6.82448,7.04747,39.02303,3943.04823,-2.61147,51.66787,13.49858456,4.494314302,54.99999906
6.85712,7.08924,38.75489,3936.84879,-2.58847,51.92037,13.97333405,4.652380759,54.99999906
6.88952,7.13109,38.48985,3930.40354,-2.5596,52.18187,14.45660093,4.813283053,54.99999906
6.92168,7.17303,38.22852,3923.7071,-2.52474,52.45257,14.94677637,4.976485536,54.99999906
6.95358,7.21505,37.97153,3916.75495,-2.48381,52.73262,15.44203936,5.141381903,54.99999906
6.98523,7.25716,37.7195,3909.54347,-2.43674,53.02213,15.9403568,5.307295239,54.99999906
7.0166,7.29937,37.47308,3902.07014,-2.38348,53.32119,16.43948789,5.473479478,54.99999906
7.04769,7.34166,37.23288,3894.33357,-2.32402,53.62986,16.93699331,5.639122454,54.99999906
7.07849,7.38405,36.99953,3886.33364,-2.25837,53.94813,17.43024961,5.803350696,54.99999906
7.10899,7.42653,36.77365,3878.07159,-2.18658,54.27595,17.91646907,5.965236047,54.99999906
7.13918,7.46909,36.55584,3869.55012,-2.10874,54.61324,18.39272533,6.123804175,54.99999906
7.16905,7.51176,36.34669,3860.77341,-2.02496,54.95985,18.85598445,6.278044949,54.99999906
7.1986,7.55451,36.14677,3851.74725,-1.9354,55.31557,19.30314154,6.426924596,54.99999906
7.22782,7.59735,35.95662,3842.47901,-1.84027,55.68014,19.73106204,6.569399476,54.99999906
7.25669,7.64029,35.77675,3832.97769,-1.73981,56.05324,20.13662724,6.704431224,54.99999906
7.28522,7.68331,35.60766,3823.25388,-1.63428,56.4345,20.51678288,6.831002933,54.99999906
